priority_rank,brand,route,countries,categories,market_roles,official_url,affiliate_target,next_action,cash_status
454,Beehive Meals,/go/beehive-meals/,US,frozen family meals,US freezer meal delivery brand shipping slow-cooker family freezer meals to all 50 states,https://beehivemeals.com/,affiliate application,Add to frozen family dinner and kids/family meal pages,route_ready_affiliate_pending
455,Beleaf,/go/beleaf/,Brazil,plant-based frozen meals,Brazilian plant-based frozen and vegan food brand for healthy grocery dinner searches,https://www.beleafvegan.com/,retail affiliate or direct partnership,Add to Brazil plant-based frozen meal pages with retail-route caveat,route_ready_affiliate_pending
456,Bellyful,/go/bellyful/,New Zealand,frozen family meals,"New Zealand volunteer freezer-meal charity, important for meal-help search demand but not a commercial buying route",https://bellyful.org.nz/,not ready,"Account for non-commercial meal support searches, do not monetize",route_ready_affiliate_pending
457,Benefit Qatar,/go/benefit-qatar/,Qatar,diet prepared meals,"Qatar nutritionist-designed fresh meal-plan delivery brand for weight loss, muscle gain, performance, and busy people",https://benefit.qa/,direct partnership,Add to Qatar prepared meal-plan pages,route_ready_affiliate_pending
458,Bertrand,/go/bertrand/,Europe,complete nutrition meal replacement,organic drinkable meal and complete nutrition powder brand for clean-label meal replacement searches,https://bertrand.bio/,direct partnership,Add to organic meal replacement challenger pages,route_ready_affiliate_pending
459,Betty Bossi,/go/betty-bossi/,Switzerland,meal kit,"Swiss recipe, meal-planning, and cooking brand with meal-kit/dinner-helper relevance",https://www.bettybossi.ch/,affiliate application,Add to Switzerland recipe-kit and dinner helper pages,route_ready_affiliate_pending
460,BexTheChef,/go/bexthechef/,South Africa,frozen prepared meals,Johannesburg meal delivery and frozen meal brand with fresh meals and freezer-stock options,https://bexthechef.co.za/,direct partnership,Add to South Africa frozen prepared meal challenger pages,route_ready_affiliate_pending
461,Birds Eye Voila,/go/birds-eye-voila/,US,frozen skillet meals,frozen skillet meal bags for easy family dinners and grocery dinner shortcuts,https://www.birdseye.com/voila/,retail affiliate,Add to frozen skillet meal pages,route_ready_affiliate_pending
462,Boerschappen,/go/boerschappen/,Netherlands,grocery dinner delivery,Dutch local grocery/meal-box brand with fresh regional ingredients and recipe-box relevance,https://www.boerschappen.nl/,direct partnership,Add to Netherlands grocery-dinner and local produce pages,route_ready_affiliate_pending
463,Brooklyn Delhi,/go/brooklyn-delhi/,US,meal starter kits,"Indian simmer sauces, achaar, and pantry products for fast grocery-assisted dinners",https://brooklyndelhi.com/,retail affiliate,Add to Indian meal starter pages,route_ready_affiliate_pending
464,Burgreens,/go/burgreens/,Indonesia,plant-based prepared meals,Indonesia plant-based healthy restaurant and meal delivery brand with vegan and flexitarian demand,https://burgreens.com/,direct partnership,Add to Indonesia plant-based prepared meal pages,route_ready_affiliate_pending
465,Calo Bahrain,/go/calo-bahrain/,Bahrain,prepared meals,Bahrain app-led personalized daily meal-plan delivery route from Calo,https://calo.app/en-bh,direct partnership,Add as Bahrain Calo local route,route_ready_affiliate_pending
466,Calo Kuwait,/go/calo-kuwait/,Kuwait,prepared meals,Kuwait Calo meal plans with customized fresh meals delivered to home or office,https://calo.app/en-kw,direct partnership,Add as Kuwait prepared meal-plan anchor,route_ready_affiliate_pending
467,Calo Oman,/go/calo-oman/,Oman,prepared meals,Oman app-led personalized fresh meal-plan route from Calo with Muscat launch evidence,https://calo.app/en,direct partnership,Add to Oman prepared meal-plan alternatives with app-route caveat,route_ready_affiliate_pending
468,Calo Qatar,/go/calo-qatar/,Qatar,prepared meals,Qatar Calo meal-plan route with personalized ready-to-eat meals and app-led ordering,https://calo.app/en,direct partnership,Add to Qatar prepared meal-plan comparisons,route_ready_affiliate_pending
469,Calo Saudi Arabia,/go/calo-saudi-arabia/,Saudi Arabia,prepared meals,Saudi app-led personalized fresh meal-plan delivery brand for busy people and fitness goals,https://calo.app/en,direct partnership,Add to Saudi prepared meal-plan pages,route_ready_affiliate_pending
470,Calo UK,/go/calo-uk/,UK,prepared meals,personalised healthy meal delivery brand expanding in the UK after acquiring Fresh Fitness Food and Detox Kitchen,https://calo.app/en,direct partnership,Add to UK healthy prepared-meal and Frive comparison pages,route_ready_affiliate_pending
471,Calories Egypt,/go/calories-egypt/,Egypt,diet prepared meals,Egypt eat-clean program and daily meal-plan service for full-day prepared meals,https://www.calories-eg.com/calories-healthy-package-program.html,direct partnership,Add to Egypt diet prepared-meal challenger pages,route_ready_affiliate_pending
472,Caserola Fit,/go/caserola-fit/,Romania,diet prepared meals,Romanian boxed diet and prepared meal candidate,https://caserolafit.ro/,direct partnership,Add with active delivery caveat,route_ready_affiliate_pending
473,Caulipower,/go/caulipower/,US,frozen gluten-free meals,"better-for-you frozen pizzas, meals, and gluten-free dinner shortcuts",https://eatcaulipower.com/,retail affiliate,Add to gluten-free frozen dinner pages,route_ready_affiliate_pending
474,Caveman Chefs,/go/caveman-chefs/,US,paleo prepared meals,Colorado paleo meal prep and prepared meal brand with specialty diet positioning,https://cavemanchefs.com/,direct partnership,Add to paleo meal prep pages with regional caveat,route_ready_affiliate_pending
475,Celeiro,/go/celeiro/,Portugal,grocery dinner delivery,"Portuguese health food, grocery, and meal-helper retailer with dinner basket relevance",https://www.celeiro.pt/,affiliate application,Add to Portugal healthy grocery-dinner pages,route_ready_affiliate_pending
476,Chef Bob,/go/chef-bob/,Brazil,prepared meals,Brazilian chef-prepared frozen meal and easy dinner delivery brand,https://chefbob.com.br/,direct partnership,Add to Brazil frozen prepared meal pages,route_ready_affiliate_pending
477,Chef Box Egypt,/go/chef-box-egypt/,Egypt,meal kit,Egypt meal-kit service with recurring subscription terms and premeasured ingredient boxes,https://chefboxeg.com/,direct partnership,Add to Egypt meal-kit and cook-at-home pages,route_ready_affiliate_pending
478,Chef in a Box,/go/chef-in-a-box/,Ireland,prepared meals,Irish prepared meal and dinner delivery candidate for easy home meals,https://chefinabox.ie/,direct partnership,Add to Ireland local prepared meal pages,route_ready_affiliate_pending
479,Chef's Plate,/go/chef-s-plate/,Canada,meal kit,Canadian meal kit brand with pre-portioned ingredients and recipes from the HelloFresh family,https://www.chefsplate.com/,affiliate application,Add to Canada meal-kit comparisons,route_ready_affiliate_pending
480,Cityfood,/go/cityfood/,Hungary,prepared meals,Hungarian lunch and prepared meal delivery service for daily menus,https://www.cityfood.hu/,direct partnership,Add to Hungary prepared meal challenger pages,route_ready_affiliate_pending
481,Clean Eats Bay Area,/go/clean-eats-bay-area/,US,prepared meals,"Bay Area custom meal-prep service with keto, vegan, and nutrition-focused prepared meal options",https://www.mycleaneats.com/,direct partnership,Add to Bay Area prepared-meal alternatives,route_ready_affiliate_pending
482,Clean Eats Malaysia,/go/clean-eats-malaysia/,Malaysia,diet prepared meals,Malaysia healthy meal-prep and clean eating candidate,https://cleaneats.my/,direct partnership,Add to Malaysia diet prepared meal challenger pages,route_ready_affiliate_pending
483,Clean Eats Meal Prep,/go/clean-eats-meal-prep/,US,diet prepared meals,"New Jersey meal-prep delivery service with recurring one, two, and three meal-per-day packs",https://www.cleaneatsmealprep.com/,direct partnership,Add to New Jersey diet meal-prep alternatives,route_ready_affiliate_pending
484,Co-op Deli,/go/co-op-deli/,Japan,grocery dinner delivery,Japanese co-op grocery and meal ingredient delivery service with household dinner planning relevance,https://efriends.coopdeli.jp/,direct partnership after fit check,Add to Japan grocery dinner and family meal planning pages,route_ready_affiliate_pending
485,Come Bien,/go/come-bien/,Mexico,prepared meals,Mexico prepared meal and healthy eating candidate for ready-to-eat dinner demand,https://comebien.mx/,direct partnership,Add to Mexico prepared meal challenger pages,route_ready_affiliate_pending
486,ComeFruta,/go/comefruta/,Spain,grocery dinner delivery,Spanish fruit and produce delivery brand with grocery-dinner and healthy basket relevance,https://comefruta.es/,direct partnership,Add to Spain produce and grocery-dinner pages,route_ready_affiliate_pending
487,Comer Melhor,/go/comer-melhor/,Portugal,diet prepared meals,Portuguese healthy prepared meal and diet delivery candidate,https://comermelhor.pt/,direct partnership,Add with regional caveat,route_ready_affiliate_pending
488,Como en Casa Bogota,/go/como-en-casa-bogota/,Colombia,prepared lunches,Bogota healthy balanced lunch plan delivered Monday to Friday for recurring weekday meal demand,https://www.comoencasabta.com/,direct partnership,Use for local lunch-plan alternatives rather than national recommendation,route_ready_affiliate_pending
489,Congelados da Sônia,/go/congelados-da-s-nia/,Brazil,frozen meals,Brazil frozen prepared meals brand for easy home dinners,https://congeladosdasonia.com.br/,direct partnership,Add to Brazil frozen meal pages,route_ready_affiliate_pending
490,Cookat,/go/cookat/,South Korea,prepared meals,Korean ready-food and meal brand with prepared meal and convenience-food relevance,https://www.cookatmarket.com/,direct partnership,Add to Korea prepared meal pages,route_ready_affiliate_pending
491,CookinGenie,/go/cookingenie/,US,private chef meal prep,private-chef marketplace for in-home dining and customized weekly meal prep,https://cookingenie.com/,direct partnership,Add to private chef and meal-prep alternatives pages with service-type caveat,route_ready_affiliate_pending
492,Crisp,/go/crisp/,Netherlands,grocery dinner delivery,Dutch fresh online supermarket with recipes and dinner-planning relevance,https://www.crisp.nl/,affiliate application,Add to Netherlands grocery-dinner pages,route_ready_affiliate_pending
493,Crowd Cow,/go/crowd-cow/,US,protein box,meat and seafood delivery marketplace for freezer protein and dinner planning,https://www.crowdcow.com/,affiliate application,Add to protein box and meat delivery comparison pages,route_ready_affiliate_pending
494,Cuisinery,/go/cuisinery/,France,frozen prepared meals,French-style frozen ready meals and gourmet grocery delivery brand with US route,https://www.cuisineryfoodmarket.com/,affiliate application,Add as French cuisine frozen meal option with US route caveat,route_ready_affiliate_pending
495,Dahmakan,/go/dahmakan/,Malaysia,prepared meals,Malaysia app-led ready meal and food delivery brand historically tied to prepared meals,https://dahmakan.com/,direct partnership after active route check,Add to Malaysia app-led prepared meal pages with active-route caveat,route_ready_affiliate_pending
496,Dear Diet,/go/dear-diet/,Philippines,diet prepared meals,Philippines healthy diet meal delivery candidate for calorie-controlled and prepared meal demand,https://deardietdelivery.com/,direct partnership,Add to Philippines diet prepared meal pages,route_ready_affiliate_pending
497,Deep Indian Kitchen,/go/deep-indian-kitchen/,US,frozen prepared meals,ready-to-eat Indian frozen meals and wraps with strong grocery-dinner relevance,https://deepindiankitchen.com/,retail affiliate,Add to Indian frozen dinner and quick lunch pages,route_ready_affiliate_pending
498,Delimas,/go/delimas/,Peru,prepared meals,Lima prepared-meal delivery service with customizable meals and free delivery across selected districts,https://delimas.pe/,direct partnership,Add to Peru prepared meal alternatives with district caveat,route_ready_affiliate_pending
499,Diaspora Co.,/go/diaspora-co/,US,grocery dinner helpers,single-origin spices and pantry staples for high-intent cooking-at-home dinner helper searches,https://www.diasporaco.com/,retail affiliate,"Add to premium pantry dinner helper pages, not meal delivery rankings",route_ready_affiliate_pending
500,Diced Meal Prep,/go/diced-meal-prep/,UK,high protein meal prep,"UK fresh chef-prepared high-protein meal prep with burgers, bowls, pastas, staples, and kids meals",https://dicedmealprep.co.uk/,direct partnership,Add to UK high-protein meal-prep challenger pages,route_ready_affiliate_pending
501,Diet Care,/go/diet-care/,Kuwait,diet prepared meals,Kuwait diet meal delivery and prepared meal-plan brand,https://www.dietcare.com.kw/,direct partnership,Add to Kuwait diet prepared meal pages,route_ready_affiliate_pending
502,Diet Care Kuwait,/go/diet-care-kuwait/,Kuwait,diet prepared meals,"Kuwait healthy daily meal and diet-plan brand with keto, low-carb, and gourmet meal options",https://www.dietcaredelivery.com/,direct partnership,Add to Kuwait healthy prepared meal pages,route_ready_affiliate_pending
503,Diet Center,/go/diet-center/,Saudi Arabia,diet prepared meals,Saudi diet and healthy prepared meal delivery brand with structured meal plans,https://dietcenter.com.sa/,direct partnership,Add to Saudi Arabia diet meal pages,route_ready_affiliate_pending
504,Diet Delights Qatar,/go/diet-delights-qatar/,Qatar,diet prepared meals,Qatar healthy meal delivery brand referenced in local meal-subscription comparisons,https://www.dietdelights.com/,direct partnership after local route check,Add with local active-route caveat,route_ready_affiliate_pending
505,Diet Hub Egypt,/go/diet-hub-egypt/,Egypt,diet prepared meals,Egypt healthy diet meal subscription brand with customized nutrition plans and delivery,https://diethubegypt.com/,direct partnership,Add to Egypt diet meal delivery pages,route_ready_affiliate_pending
506,Diet to Door Egypt,/go/diet-to-door-egypt/,Egypt,diet prepared meals,"Egypt diet food delivery service with balanced, muscle, low-carb, vegetarian, and kids programs",https://diettodoor.com/,direct partnership,Add to Egypt weight-loss and diet prepared meal pages,route_ready_affiliate_pending
507,Dieta Chef,/go/dieta-chef/,Italy,diet prepared meals,Italian diet meal delivery and prepared meal-plan brand for weight-loss searches,https://www.dietachef.it/,affiliate application,Add to Italy diet prepared-meal pages,route_ready_affiliate_pending
508,Dietmonsta,/go/dietmonsta/,Malaysia,diet prepared meals,Malaysia healthy meal delivery and diet meal candidate for Kuala Lumpur demand,https://dietmonsta.com/,direct partnership,Add to Malaysia diet meal challenger pages,route_ready_affiliate_pending
509,Dieture,/go/dieture/,Qatar,diet prepared meals,"Qatar premium meal subscription with dietitian-designed plans for weight loss, keto, vegetarian, and personalized meals",https://www.dieture.com/,direct partnership,Add to Qatar diet meal delivery anchor pages,route_ready_affiliate_pending
510,DinnerLink,/go/dinnerlink/,South Africa,prepared meals marketplace,South African home-cooked meal marketplace candidate for local prepared dinner demand,https://dinnerlink.co.za/,direct partnership,Add to South Africa local cooked meal marketplace pages,route_ready_affiliate_pending
511,Easy Meals Japan,/go/easy-meals-japan/,Japan,prepared meals,"Japan-wide Western-style fresh prepared meal delivery with high-protein, vegan, halal, family, and low-calorie options",https://www.easymealsjapan.com/,direct partnership,Add to Japan English-friendly prepared meal pages,route_ready_affiliate_pending
512,EasyEats Estonia,/go/easyeats-estonia/,Estonia,high protein meal prep,"Tallinn high-protein meal-prep delivery service with weekly breakfast, lunch, and dinner options",https://www.easyeats.ee/,direct partnership,Add to Estonia high-protein meal-prep pages,route_ready_affiliate_pending
513,Eat Clean Chicago,/go/eat-clean-chicago/,US,prepared meals,Chicago meal-prep company delivering dietitian-curated ready-to-heat prepared meals with subscription options,https://eatcleanchicago.com/,direct partnership,Add to Chicago healthy meal-prep pages,route_ready_affiliate_pending
514,Eat Clean ME,/go/eat-clean-me/,UAE,diet prepared meals,"UAE healthy meal-plan brand offering low-calorie, high-protein, vegan, vegetarian, and gluten-free plans",https://eatcleanme.com/,direct partnership,Add to UAE diet-specific meal-plan pages,route_ready_affiliate_pending
515,Eat Clean PHX,/go/eat-clean-phx/,US,prepared meals,Phoenix-area fresh chef-prepared and nutritionist-approved meal delivery brand serving the Valley,https://eatcleanphx.com/,direct partnership,Add to Phoenix prepared-meal alternatives,route_ready_affiliate_pending
516,Eat Clean To Go,/go/eat-clean-to-go/,US,prepared meals,fully prepared chef-cooked fresh meals with quick heat-and-eat positioning,https://eatcleantogo.com/,direct partnership,Add to US value prepared-meal challenger pages,route_ready_affiliate_pending
517,Eat Fit Go,/go/eat-fit-go/,US,prepared meals,prepared meal and grab-and-go healthy meal brand with regional availability to verify,https://eatfitgo.com/,direct partnership after region check,Add to regional prepared meal pages with delivery caveat,route_ready_affiliate_pending
518,Eat Fit Mexico,/go/eat-fit-mexico/,Mexico,prepared meals,Mexican prepared meal and healthy eating brand candidate for local meal-prep demand,https://eatfit.com.mx/,direct partnership,Add to Mexico prepared meal challenger pages,route_ready_affiliate_pending
519,Eat Flavorly,/go/eat-flavorly/,US,prepared meals,meal prep and healthy prepared meal candidate for regional convenience searches,https://eatflavorly.com/,direct partnership,Add with active-route caveat,route_ready_affiliate_pending
520,Eat Macro Meals,/go/eat-macro-meals/,US,high protein meal prep,US regional macro meal-prep delivery service building meals from fresh mostly organic ingredients,https://www.eatmacromeals.com/,direct partnership after delivery-area check,Add to regional macro meal-prep alternatives,route_ready_affiliate_pending
521,EatFitz,/go/eatfitz/,US,high protein meal prep,Massachusetts and Rhode Island fresh meal-prep delivery brand with customizable high-protein meals,https://eatfitz.com/,direct partnership,Add to US regional high-protein meal-prep alternatives,route_ready_affiliate_pending
522,EatFlavorly,/go/eatflavorly/,US,frozen prepared meals,"frozen meal delivery brand with scratch-made meals, no subscription, and ready-in-minutes positioning",https://www.eatflavorly.com/,affiliate application,Add to US frozen no-subscription prepared meal pages,route_ready_affiliate_pending
523,Eatology Hong Kong,/go/eatology-hong-kong/,Hong Kong,diet prepared meals,Hong Kong meal-plan delivery brand with nutritionist-designed prepared meals and calorie-controlled plans,https://www.eatologyasia.com/,direct partnership,Add to Hong Kong diet prepared meal pages,route_ready_affiliate_pending
524,Eatstro,/go/eatstro/,Ireland,meal kit,Ireland meal-kit candidate with historical consumer discussion and uncertain current activity,https://eatstro.com/,verify before monetization,Use for alternatives intent only until active ordering is proven,route_ready_affiliate_pending
525,EatTasty,/go/eattasty/,Portugal,prepared meals,Portuguese prepared meal delivery startup with historical search demand; source checks indicate shutdown in 2025,https://www.eattasty.pt/,not ready,"Create alternatives angle only, do not recommend as active",route_ready_affiliate_pending
526,Essential Meal Delivery,/go/essential-meal-delivery/,Canada,prepared meals,Canadian prepared meal delivery candidate for healthy and convenient eating,https://essentialmealdelivery.com/,direct partnership,Add to Canada regional prepared meal pages,route_ready_affiliate_pending
527,Ever Gourmet,/go/ever-gourmet/,Canada,prepared meals,"Toronto/GTA fresh prepared meals with gourmet, vegan, paleo, keto, athlete, and breakfast options",https://evergourmet.ca/,direct partnership,Add to Canada prepared meal challenger pages with regional caveat,route_ready_affiliate_pending
528,Every. Food,/go/every-food/,Germany,frozen plant-based meals,"German frozen plant-based bowls, smoothies, and ready meals for healthy frozen dinner demand",https://every-foods.com/,affiliate application,Add to Germany plant-based frozen meal pages,route_ready_affiliate_pending
529,EveryFitDay,/go/everyfitday/,Germany,diet prepared meals,German diet catering and freshly prepared daily meal delivery candidate,https://everyfitday.de/en/,direct partnership,Add with delivery-area caveat,route_ready_affiliate_pending
530,Evol,/go/evol/,US,frozen prepared meals,"microwave-ready single-serve meals, protein bowls, and burritos for convenient frozen dinner searches",https://www.evolfoods.com/,retail affiliate,Add to frozen bowl and burrito pages,route_ready_affiliate_pending
531,Factor Meals Canada,/go/factor-meals-canada/,Canada,prepared meals,chef-prepared ready-to-eat meals delivered weekly across eligible Canadian regions,https://www.factormeals.ca/,yes,Add as Canada-specific Factor route distinct from old landing page,route_ready_affiliate_pending
532,Family Kitchen Cyprus,/go/family-kitchen-cyprus/,Cyprus,kids and family meal plans,Cyprus healthy family meal-plan and catering route for children and adults,https://familykitchen.cy/,direct partnership after consumer fit check,Add to Cyprus family/kids meal-plan alternatives with catering caveat,route_ready_affiliate_pending
533,FamilyChef Cyprus,/go/familychef-cyprus/,Cyprus,diet prepared meals,"Cyprus diet meal-plan delivery brand with slim, keto, and weekly program positioning",https://familychef.com.cy/,direct partnership,Add to Cyprus diet program pages,route_ready_affiliate_pending
534,Farm Fresh To You,/go/farm-fresh-to-you/,US,produce box,California organic produce box and grocery delivery service for dinner planning,https://www.farmfreshtoyou.com/,affiliate application,Add to produce box and grocery dinner pages with regional caveat,route_ready_affiliate_pending
535,Farm to Fit,/go/farm-to-fit/,US,prepared meals,Portland prepared meal delivery brand with chef-made calorie-controlled meals and recurring delivery,https://www.farmtofit.com/,direct partnership,Add to US regional calorie-controlled meal pages,route_ready_affiliate_pending
536,FarmboxRx,/go/farmboxrx/,US,grocery dinner delivery,produce and healthy grocery box delivery with healthcare/benefit program relevance,https://www.farmboxrx.com/,direct partnership after consumer fit check,Add with consumer-route caveat,route_ready_affiliate_pending
537,Farmy,/go/farmy/,Switzerland,grocery dinner delivery,Swiss online market and grocery delivery brand with recipe and fresh dinner basket relevance,https://www.farmy.ch/,affiliate application,Add to Switzerland grocery-dinner pages,route_ready_affiliate_pending
538,Fed Fed Fed,/go/fed-fed-fed/,Canada,prepared meals,Canadian nutrition-focused meal club delivering fresh full-nutrition meals,https://www.fedfedfed.com/,direct partnership,Add to Canada nutrition-focused prepared meal pages,route_ready_affiliate_pending
539,FED New Zealand,/go/fed-new-zealand/,New Zealand,frozen prepared meals,New Zealand chef-made frozen ready-meal service with one-off and subscription delivery,https://www.getfed.co.nz/,direct partnership,Add to New Zealand frozen ready-meal and family dinner pages,route_ready_affiliate_pending
540,Feed,/go/feed/,France,complete nutrition meal replacement,French complete meal bar and shake brand with retail evidence for meal replacement demand,https://www.feed.co/,verify before monetization,Add as French complete-food candidate with checkout caveat,route_ready_affiliate_pending
541,Fete Up,/go/fete-up/,Hong Kong,prepared meals,Hong Kong healthy meal and bento brand with balanced macro-forward bowls and delivery/catering routes,https://feteup.com/,direct partnership after meal-plan fit check,Add to Hong Kong healthy prepared-meal alternatives,route_ready_affiliate_pending
542,Fit & Fresh Meals,/go/fit-and-fresh-meals/,US,diet prepared meals,"Regional weekly meal-prep service for weight loss, maintenance, and healthier eating goals",https://fitandfreshmeals.net/,direct partnership,Add to local diet meal-prep alternatives,route_ready_affiliate_pending
543,Fit AF Nutrition,/go/fit-af-nutrition/,US,prepared meals,Boston-area fresh prepared meal delivery brand with high-protein and diet-filtered weekly menus,https://fitafnutrition.com/,direct partnership,Add to US regional prepared meal alternatives,route_ready_affiliate_pending
544,Fit Apetit,/go/fit-apetit/,Poland,diet prepared meals,Polish diet catering and prepared meal delivery brand,https://www.fitapetit.com.pl/,direct partnership,Add to Poland diet catering challenger pages,route_ready_affiliate_pending
545,Fit Chef Australia,/go/fit-chef-australia/,Australia,high protein meal prep,Adelaide macro-balanced chef-prepared meal-prep delivery service with fresh heat-and-eat meals,https://fitchefaus.com/,direct partnership,Add to South Australia high-protein meal-prep alternatives,route_ready_affiliate_pending
546,Fit Five Meals,/go/fit-five-meals/,US,prepared meals,"US regional meal-prep company offering pickup, shipping, and home delivery with weekly menu drops",https://fitfivemeals.com/,direct partnership,Add to US regional prepared-meal alternatives,route_ready_affiliate_pending
547,Fit Food Always,/go/fit-food-always/,Thailand,high protein meal prep,Thailand fitness meal-prep candidate with healthy prepared meals and macro-led demand,https://fitfoodalways.com/,direct partnership,Add to Thailand high-protein meal-prep pages,route_ready_affiliate_pending
548,Fit Food Cuisine,/go/fit-food-cuisine/,US,prepared meals,"San Jose meal-prep service with fresh curated meals, delivery, pickup, and meal-pack options",https://fitfoodcuisine.com/,direct partnership,Add to California regional prepared-meal alternatives,route_ready_affiliate_pending
549,FIT FOOD HOME,/go/fit-food-home/,Japan,frozen prepared meals,"Japan chef-made frozen prepared-meal delivery service focused on nutrition, taste, and additive-conscious food",https://store.tavenal.com/,affiliate application,Add to Japan frozen prepared meal pages,route_ready_affiliate_pending
550,Fit Food Mexico,/go/fit-food-mexico/,Mexico,healthy meal delivery,Mexican healthy meal delivery and prepared food candidate,https://fitfood.mx/,direct partnership,Add to Mexico healthy prepared meal challenger pages,route_ready_affiliate_pending
551,Fit Food Prep,/go/fit-food-prep/,US,high protein meal prep,"US regional healthy weekly meal delivery brand with weight-loss, maintenance, and bulking meal options",https://fitfoodprep.org/,direct partnership,Add to US regional high-protein meal-prep alternatives,route_ready_affiliate_pending
552,Fit Food Way,/go/fit-food-way/,Romania,diet prepared meals,"Romanian healthy diet food delivery with weight-loss, muscle gain, keto, and custom menu positioning",https://fitfoodway.ro/,direct partnership,Add to Romania diet catering and high-protein pages,route_ready_affiliate_pending
553,Fit Fresh 417,/go/fit-fresh-417/,US,high protein meal prep,Springfield Missouri chef-prepared high-protein macro-balanced meal-prep delivery brand,https://www.fitfresh417.com/,direct partnership,Add to Missouri high-protein meal-prep pages,route_ready_affiliate_pending
554,Fit Fresh Fast,/go/fit-fresh-fast/,US,prepared meals,US local meal-prep delivery brand with rotating healthy affordable meals and pickup options,https://www.fitfreshfast.com/,direct partnership,Add to US local prepared-meal alternatives,route_ready_affiliate_pending
555,Fit Kitchen Meal Prep,/go/fit-kitchen-meal-prep/,US,high protein meal prep,"Charlotte ready-to-eat healthy meal-prep brand offering pickup, home or office delivery, and custom meals",https://fitkitchenmealprep.com/,direct partnership,Add to Charlotte high-protein meal-prep pages,route_ready_affiliate_pending
556,Fit Kitchen PH,/go/fit-kitchen-ph/,Philippines,high protein meal prep,Philippines fitness and healthy meal delivery candidate referenced in current healthy meal-plan guides,https://www.fitkitchenph.com/,direct partnership,Add to Philippines fitness meal-prep pages with route caveat,route_ready_affiliate_pending
557,Fit Meals 4U,/go/fit-meals-4u/,US,high protein meal prep,"Las Vegas fresh organic cooked-to-order meal delivery brand with custom, vegan, paleo, and keto options",https://fitmeals4u.net/,direct partnership,Add to Las Vegas high-protein and custom meal-prep alternatives,route_ready_affiliate_pending
558,Fit Panther,/go/fit-panther/,Bulgaria,diet prepared meals,Bulgaria ready healthy menu delivery brand serving home and office customers with full-day menus,https://fitpanther.bg/en/,direct partnership,Add as Bulgaria healthy prepared-meal anchor,route_ready_affiliate_pending
559,Fit Prep,/go/fit-prep/,US,prepared meals,"US fresh balanced meal-prep service using colorful vegetables, proteins, and complex carbs",https://eatfitprep.com/,direct partnership,Add to US regional fit meal-prep alternatives,route_ready_affiliate_pending
560,fit-flavors,/go/fit-flavors/,US,prepared meals,US regional fresh prepared meal brand with portion-controlled healthy meals and retail/delivery routes,https://fit-flavors.com/,direct partnership,Add to US regional prepared meal alternatives,route_ready_affiliate_pending
561,Fit2go Thailand,/go/fit2go-thailand/,Thailand,high protein meal prep,Thailand ready-to-eat high-protein and low-calorie meal-plan service with Bangkok route evidence,https://fit2gothailand.com/,direct partnership,Add as Thailand high-protein meal-prep anchor,route_ready_affiliate_pending
562,fit2go.meals,/go/fit2go-meals/,Austria,prepared meals,Austria healthy ready meals with prepared boxes and workplace meal route,https://fittogo.at/,direct partnership,Add to Austria prepared and high-protein pages,route_ready_affiliate_pending
563,FitChef Turkey,/go/fitchef-turkey/,Turkey,diet prepared meals,Turkey healthy diet meal delivery candidate with local availability to verify,https://fitchef.com.tr/,direct partnership,Add to Turkey diet meal challenger pages,route_ready_affiliate_pending
564,Fitelo,/go/fitelo/,India,diet meal planning,"India weight-loss and diet app with personalized diet plans and nutrition coaches, adjacent to diet meal planning searches",https://play.google.com/store/apps/details?id=com.fitelo.android,not primary meal delivery,"Use only for diet-planning adjacent pages, not prepared meal delivery recommendations",route_ready_affiliate_pending
565,FitFood Chile,/go/fitfood-chile/,Chile,diet prepared meals,Chile healthy meal-plan delivery brand offering personalized nutrition plans delivered daily,https://fitfood.cl/,direct partnership,Add as Chile diet meal delivery anchor,route_ready_affiliate_pending
566,FitFood Manila,/go/fitfood-manila/,Philippines,diet prepared meals,"Manila meal-plan brand with Original, Plus, Veg, Keto, and heart-focused subscription options",https://fitfoodmanila.com/,direct partnership,Add to Philippines diet and keto meal-plan pages,route_ready_affiliate_pending
567,FitFood Meal Prep DMV,/go/fitfood-meal-prep-dmv/,US,prepared meals,DMV chef-prepared weekly meal-prep service delivering healthy meals to customers,https://www.fitfoodmealprepservice.com/,direct partnership,Add to DC/Maryland/Virginia prepared-meal alternatives,route_ready_affiliate_pending
568,Fitfood NZ,/go/fitfood-nz/,New Zealand,prepared meals,"New Zealand healthy ready-made meals with portion-controlled, nutritionally balanced heat-and-eat positioning",https://www.fitfood.co.nz/,direct partnership,Promote New Zealand Fitfood route if duplicate variant exists,route_ready_affiliate_pending
569,FITfoodNJ,/go/fitfoodnj/,US,prepared meals,New Jersey prepared-meal and bulk meal-prep brand delivering ready heat-and-eat meals statewide,https://fitfoodnj.com/,direct partnership,Add to US regional prepared-meal alternatives,route_ready_affiliate_pending
570,FitFoodz South Africa,/go/fitfoodz-south-africa/,South Africa,diet prepared meals,South Africa chef-prepared macro-matched ready-made meal delivery brand serving major city centers,https://fitfoodz.co.za/,direct partnership,Add to South Africa weight-loss and macro prepared-meal pages,route_ready_affiliate_pending
