"brand","slug","go_route","go_route_exists","review_route","review_route_exists","source_rows","countries","categories","affiliate_program_target","tracking_url_status","cash_route_status","next_money_action","source_next_action"
"Krabičková dieta Zdravě","krabi-kov-dieta-zdrav","/go/krabi-kov-dieta-zdrav/","yes","/reviews/krabi-kov-dieta-zdrav/","yes","1","Czech Republic","diet prepared meals","direct partnership","placeholder_pending_approval","local_placeholder_route_ready","Find/apply/approve program, then replace placeholder with approved tracking URL.","Add with delivery-area caveat"
"Kuchnia Vikinga","kuchnia-vikinga","/go/kuchnia-vikinga/","yes","/reviews/kuchnia-vikinga/","yes","1","Poland","diet prepared meals","direct partnership","placeholder_pending_approval","local_placeholder_route_ready","Find/apply/approve program, then replace placeholder with approved tracking URL.","Add to Poland boxed diet comparison pages"
"Kune Food","kune-food","/go/kune-food/","yes","/reviews/kune-food/","yes","1","Kenya","prepared meals","not ready","placeholder_pending_approval","local_placeholder_route_ready","Find/apply/approve program, then replace placeholder with approved tracking URL.","Do not recommend; create alternatives angle if Kenya pages expand"
"Kurami","kurami","/go/kurami/","yes","/reviews/kurami/","yes","1","UK","premium prepared meals","direct partnership","placeholder_pending_approval","local_placeholder_route_ready","Find/apply/approve program, then replace placeholder with approved tracking URL.","Add to UK premium wellness meal-delivery pages"
"La Belle Vie","la-belle-vie","/go/la-belle-vie/","yes","/reviews/la-belle-vie/","yes","1","france","grocery dinner delivery","affiliate application","placeholder_pending_approval","local_placeholder_route_ready","Find/apply/approve program, then replace placeholder with approved tracking URL.","Add to France grocery-dinner pages"
"La Juiceria Grocer","la-juiceria-grocer","/go/la-juiceria-grocer/","yes","/reviews/la-juiceria-grocer/","yes","1","Malaysia","high protein prepared meals","direct partnership","placeholder_pending_approval","local_placeholder_route_ready","Find/apply/approve program, then replace placeholder with approved tracking URL.","Add to Malaysia high-protein prepared meal alternatives"
"La Specialite","la-specialite","/go/la-specialite/","yes","/reviews/la-specialite/","yes","1","Chile","prepared meals","direct partnership","placeholder_pending_approval","local_placeholder_route_ready","Find/apply/approve program, then replace placeholder with approved tracking URL.","Add to Chile prepared meal pages with regional caveat"
"Lean Bento","lean-bento","/go/lean-bento/","yes","/reviews/lean-bento/","yes","1","Singapore","high protein prepared meals","direct partnership","placeholder_pending_approval","local_placeholder_route_ready","Find/apply/approve program, then replace placeholder with approved tracking URL.","Add to Singapore high-protein challenger pages with route caveat"
"Lean Cuisine","lean-cuisine","/go/lean-cuisine/","yes","/reviews/lean-cuisine/","yes","1","US","diet frozen meals","retail affiliate","placeholder_pending_approval","local_placeholder_route_ready","Find/apply/approve program, then replace placeholder with approved tracking URL.","Add to diet frozen meal and calorie-conscious pages"
"Lean Kitchen Co","lean-kitchen-co","/go/lean-kitchen-co/","yes","/reviews/lean-kitchen-co/","yes","1","US","high protein meal prep","direct partnership after franchise-route check","placeholder_pending_approval","local_placeholder_route_ready","Find/apply/approve program, then replace placeholder with approved tracking URL.","Add to regional high-protein meal-prep pages with location caveat"
"LeanBox","leanbox","/go/leanbox/","yes","/reviews/leanbox/","yes","1","Ireland","prepared meals","possible","placeholder_pending_approval","local_placeholder_route_ready","Find/apply/approve program, then replace placeholder with approved tracking URL.","Verify official URL and service area"
"Les Commis","les-commis","/go/les-commis/","yes","/reviews/les-commis/","yes","1","France","meal kit","needs_research","placeholder_pending_approval","local_placeholder_route_ready","Find/apply/approve program, then replace placeholder with approved tracking URL.","Research affiliate or direct partner path after domain is live."
"LifeBox","lifebox","/go/lifebox/","yes","/reviews/lifebox/","yes","1","Romania","diet prepared meals","direct partnership","placeholder_pending_approval","local_placeholder_route_ready","Find/apply/approve program, then replace placeholder with approved tracking URL.","Add to Romania healthy meal subscription pages"
"LifeBox Romania","lifebox-romania","/go/lifebox-romania/","yes","/reviews/lifebox-romania/","yes","1","Romania","diet prepared meals","direct partnership","placeholder_pending_approval","local_placeholder_route_ready","Find/apply/approve program, then replace placeholder with approved tracking URL.","Add as Romania prepared meal delivery anchor"
"LifeChef","lifechef","/go/lifechef/","yes","/reviews/lifechef/","yes","1","US","diet prepared meals","affiliate application","placeholder_pending_approval","local_placeholder_route_ready","Find/apply/approve program, then replace placeholder with approved tracking URL.","Add to medically tailored and diet meal pages"
"LightFork","lightfork","/go/lightfork/","yes","/reviews/lightfork/","yes","1","Croatia","diet prepared meals","direct partnership","placeholder_pending_approval","local_placeholder_route_ready","Find/apply/approve program, then replace placeholder with approved tracking URL.","Add as Croatia diet prepared-meal anchor"
"Linas Matkasse","linas-matkasse","/go/linas-matkasse/","yes","/reviews/linas-matkasse/","yes","1","sweden","meal kit","direct partnership","placeholder_pending_approval","local_placeholder_route_ready","Find/apply/approve program, then replace placeholder with approved tracking URL.","Position as Sweden incumbent against HelloFresh and Factor"
"LineUpFit","lineupfit","/go/lineupfit/","yes","/reviews/lineupfit/","yes","1","Kuwait","diet prepared meals","direct partnership","placeholder_pending_approval","local_placeholder_route_ready","Find/apply/approve program, then replace placeholder with approved tracking URL.","Add as Kuwait healthy meal-plan anchor"
"Lions Prep","lions-prep","/go/lions-prep/","yes","/reviews/lions-prep/","yes","1","UK","prepared meals","likely","placeholder_pending_approval","local_placeholder_route_ready","Find/apply/approve program, then replace placeholder with approved tracking URL.","Treat as Frive rebrand context rather than separate active recommendation."
"Lite n Easy","lite-n-easy","/go/lite-n-easy/","yes","/reviews/lite-n-easy/","yes","1","Australia","prepared meals","possible","placeholder_pending_approval","local_placeholder_route_ready","Find/apply/approve program, then replace placeholder with approved tracking URL.","Add AU weight-loss and seniors angle"
"Lite n' Easy","lite-n-easy","/go/lite-n-easy/","yes","/reviews/lite-n-easy/","yes","1","Australia","diet prepared meals","affiliate application","placeholder_pending_approval","local_placeholder_route_ready","Find/apply/approve program, then replace placeholder with approved tracking URL.","Add to AU diet and prepared-meal comparisons"
"Little Sesame","little-sesame","/go/little-sesame/","yes","/reviews/little-sesame/","yes","1","US","grocery dinner helpers","retail affiliate","placeholder_pending_approval","local_placeholder_route_ready","Find/apply/approve program, then replace placeholder with approved tracking URL.","Add to plant-based grocery dinner helper pages, not prepared meal rankings"
"Little Spoon","little-spoon","/go/little-spoon/","yes","/reviews/little-spoon/","yes","1","US","kids and baby meals","affiliate application","placeholder_pending_approval","local_placeholder_route_ready","Find/apply/approve program, then replace placeholder with approved tracking URL.","Add to US kids meal delivery, toddler meals, and family pages"
"Liv Up","liv-up","/go/liv-up/","yes","/reviews/liv-up/","yes","1","Brazil","frozen prepared meals","direct partnership","placeholder_pending_approval","local_placeholder_route_ready","Find/apply/approve program, then replace placeholder with approved tracking URL.","Promote as Brazil frozen healthy meal anchor with app-route caveat"
"LiveFit Foods","livefit-foods","/go/livefit-foods/","yes","/reviews/livefit-foods/","yes","1","Canada","prepared meals","direct partnership","placeholder_pending_approval","local_placeholder_route_ready","Find/apply/approve program, then replace placeholder with approved tracking URL.","Promote to Canada high-protein and diet prepared-meal pages"
"Locale","locale","/go/locale/","yes","/reviews/locale/","yes","1","US","prepared meals","direct partnership","placeholder_pending_approval","local_placeholder_route_ready","Find/apply/approve program, then replace placeholder with approved tracking URL.","Add to California/regional prepared meal pages with delivery-area caveat"
"Loewenanteil","loewenanteil","/go/loewenanteil/","yes","/reviews/loewenanteil/","yes","1","Germany","fitness prepared meals","needs_research","placeholder_pending_approval","local_placeholder_route_ready","Find/apply/approve program, then replace placeholder with approved tracking URL.","Research DTC partner path and local German wording before page polishing."
"Loma Linda","loma-linda","/go/loma-linda/","yes","/reviews/loma-linda/","yes","1","US","shelf-stable plant-based meals","retail affiliate","placeholder_pending_approval","local_placeholder_route_ready","Find/apply/approve program, then replace placeholder with approved tracking URL.","Add to shelf-stable plant-based meal pages"
"London Meal Prep","london-meal-prep","/go/london-meal-prep/","yes","/reviews/london-meal-prep/","yes","1","UK","prepared meals","possible","placeholder_pending_approval","local_placeholder_route_ready","Find/apply/approve program, then replace placeholder with approved tracking URL.","Verify official URL, country availability, active status, and affiliate program before publishing as a recommendation"
"Long Island Fit Meals","long-island-fit-meals","/go/long-island-fit-meals/","yes","/reviews/long-island-fit-meals/","yes","1","US","high protein meal prep","direct partnership","placeholder_pending_approval","local_placeholder_route_ready","Find/apply/approve program, then replace placeholder with approved tracking URL.","Add to Long Island high-protein meal-prep alternatives"
"Love Yourself","love-yourself","/go/love-yourself/","yes","/reviews/love-yourself/","yes","1","UK","prepared meals","possible","placeholder_pending_approval","local_placeholder_route_ready","Find/apply/approve program, then replace placeholder with approved tracking URL.","Add weight-loss meal prep UK"
"Low Calorie Saudi","low-calorie-saudi","/go/low-calorie-saudi/","yes","/reviews/low-calorie-saudi/","yes","1","Saudi Arabia","diet prepared meals","direct partnership","placeholder_pending_approval","local_placeholder_route_ready","Find/apply/approve program, then replace placeholder with approved tracking URL.","Add to Saudi low-calorie and healthy meal-plan pages"
"Löwenanteil","l-wenanteil","/go/l-wenanteil/","yes","/reviews/l-wenanteil/","yes","3","austria|germany|switzerland","high protein prepared meals","direct partnership","placeholder_pending_approval","local_placeholder_route_ready","Find/apply/approve program, then replace placeholder with approved tracking URL.","Add to Austria high-protein prepared-meal comparisons | Add to high-protein prepared meal and fitness comparison sets | Add to Switzerland high-protein prepared-meal comparisons"
"M&M Food Market","m-and-m-food-market","/go/m-and-m-food-market/","yes","/reviews/m-and-m-food-market/","yes","1","Canada","frozen prepared meals","retail affiliate","placeholder_pending_approval","local_placeholder_route_ready","Find/apply/approve program, then replace placeholder with approved tracking URL.","Add to Canada frozen prepared meal and family dinner pages"
"M&S Cook Menu","m-and-s-cook-menu","/go/m-and-s-cook-menu/","yes","/reviews/m-and-s-cook-menu/","yes","1","UK","grocery ready meals","retail affiliate","placeholder_pending_approval","local_placeholder_route_ready","Find/apply/approve program, then replace placeholder with approved tracking URL.","Add to UK supermarket dinner shortcut pages"
"Maaltijdservice.nl","maaltijdservice-nl","/go/maaltijdservice-nl/","yes","/reviews/maaltijdservice-nl/","yes","1","Netherlands","senior prepared meals","direct partnership","placeholder_pending_approval","local_placeholder_route_ready","Find/apply/approve program, then replace placeholder with approved tracking URL.","Add to Netherlands senior meal and prepared meal pages"
"Macro Food Co","macro-food-co","/go/macro-food-co/","yes","/reviews/macro-food-co/","yes","1","UK","prepared meals","possible","placeholder_pending_approval","local_placeholder_route_ready","Find/apply/approve program, then replace placeholder with approved tracking URL.","Verify official URL, country availability, active status, and affiliate program before publishing as a recommendation"
"Macro Made Meals","macro-made-meals","/go/macro-made-meals/","yes","/reviews/macro-made-meals/","yes","1","US","high protein meal prep","direct partnership","placeholder_pending_approval","local_placeholder_route_ready","Find/apply/approve program, then replace placeholder with approved tracking URL.","Add to Chicagoland macro meal-prep alternatives"
"Macro Meals Australia","macro-meals-australia","/go/macro-meals-australia/","yes","/reviews/macro-meals-australia/","yes","1","Australia","prepared meals","possible","placeholder_pending_approval","local_placeholder_route_ready","Find/apply/approve program, then replace placeholder with approved tracking URL.","Verify official URL, country availability, active status, and affiliate program before publishing as a recommendation"
"Macro Meals Canada","macro-meals-canada","/go/macro-meals-canada/","yes","/reviews/macro-meals-canada/","yes","1","Canada","prepared meals","possible","placeholder_pending_approval","local_placeholder_route_ready","Find/apply/approve program, then replace placeholder with approved tracking URL.","Verify official URL, country availability, active status, and affiliate program before publishing as a recommendation"
"Macro Meals Ireland","macro-meals-ireland","/go/macro-meals-ireland/","yes","/reviews/macro-meals-ireland/","yes","1","Ireland","prepared meals","possible","placeholder_pending_approval","local_placeholder_route_ready","Find/apply/approve program, then replace placeholder with approved tracking URL.","Verify official URL, country availability, active status, and affiliate program before publishing as a recommendation"
"Macro Meals UK","macro-meals-uk","/go/macro-meals-uk/","yes","/reviews/macro-meals-uk/","yes","1","UK","prepared meals","possible","placeholder_pending_approval","local_placeholder_route_ready","Find/apply/approve program, then replace placeholder with approved tracking URL.","Verify official URL, country availability, active status, and affiliate program before publishing as a recommendation"
"Macrobox Kitchen","macrobox-kitchen","/go/macrobox-kitchen/","yes","/reviews/macrobox-kitchen/","yes","1","Puerto Rico","high protein meal prep","direct partnership after local-route check","placeholder_pending_approval","local_placeholder_route_ready","Find/apply/approve program, then replace placeholder with approved tracking URL.","Add as Puerto Rico macro meal-prep anchor with territory caveat"
"MacroBox Meals","macrobox-meals","/go/macrobox-meals/","yes","/reviews/macrobox-meals/","yes","1","US","high protein meal prep","direct partnership","placeholder_pending_approval","local_placeholder_route_ready","Find/apply/approve program, then replace placeholder with approved tracking URL.","Add to Orange County macro meal-prep alternatives"
"Macrofoodz","macrofoodz","/go/macrofoodz/","yes","/reviews/macrofoodz/","yes","1","Australia","prepared meals","direct partnership","placeholder_pending_approval","local_placeholder_route_ready","Find/apply/approve program, then replace placeholder with approved tracking URL.","Add to Australia macro and ready-made meal pages"
"Macros","macros","/go/macros/","yes","/reviews/macros/","yes","1","Australia","macro prepared meals","direct partnership","placeholder_pending_approval","local_placeholder_route_ready","Find/apply/approve program, then replace placeholder with approved tracking URL.","Promote to AU macro and high-protein comparisons"
"Maczfit","maczfit","/go/maczfit/","yes","/reviews/maczfit/","yes","1","Poland","diet prepared meals","direct partnership after web route check","placeholder_pending_approval","local_placeholder_route_ready","Find/apply/approve program, then replace placeholder with approved tracking URL.","Add to Poland diet catering and boxed meal pages"
"Magic Kitchen","magic-kitchen","/go/magic-kitchen/","yes","/reviews/magic-kitchen/","yes","1","US","frozen senior and special-diet meals","affiliate application","placeholder_pending_approval","local_placeholder_route_ready","Find/apply/approve program, then replace placeholder with approved tracking URL.","Add to seniors, frozen meals, and special-diet pages"
"Mama Earth","mama-earth","/go/mama-earth/","yes","/reviews/mama-earth/","yes","1","Canada","grocery dinner delivery","affiliate application","placeholder_pending_approval","local_placeholder_route_ready","Find/apply/approve program, then replace placeholder with approved tracking URL.","Add to Canada grocery-dinner and organic produce box pages"
"Mana","mana","/go/mana/","yes","/reviews/mana/","yes","1","Europe","complete nutrition meal replacement","direct partnership","placeholder_pending_approval","local_placeholder_route_ready","Find/apply/approve program, then replace placeholder with approved tracking URL.","Add to complete nutrition challenger pages"
"Manchester Meal Prep","manchester-meal-prep","/go/manchester-meal-prep/","yes","/reviews/manchester-meal-prep/","yes","1","UK","prepared meals","possible","placeholder_pending_approval","local_placeholder_route_ready","Find/apply/approve program, then replace placeholder with approved tracking URL.","Verify official URL, country availability, active status, and affiliate program before publishing as a recommendation"
"Manyar","manyar","/go/manyar/","yes","/reviews/manyar/","yes","1","Mexico","diet prepared meals","direct partnership","placeholder_pending_approval","local_placeholder_route_ready","Find/apply/approve program, then replace placeholder with approved tracking URL.","Add to Mexico/CDMX diet meal delivery pages"
"Manzana Verde","manzana-verde","/go/manzana-verde/","yes","/reviews/manzana-verde/","yes","1","Mexico","diet prepared meals","direct partnership after checkout check","placeholder_pending_approval","local_placeholder_route_ready","Find/apply/approve program, then replace placeholder with approved tracking URL.","Add to Mexico healthy diet prepared meal pages with app-route caveat"
"Manzana Verde Colombia","manzana-verde-colombia","/go/manzana-verde-colombia/","yes","/reviews/manzana-verde-colombia/","yes","1","Colombia","diet prepared meals","direct partnership","placeholder_pending_approval","local_placeholder_route_ready","Find/apply/approve program, then replace placeholder with approved tracking URL.","Add to Colombia healthy meal delivery pages"
"Manzana Verde Mexico","manzana-verde-mexico","/go/manzana-verde-mexico/","yes","/reviews/manzana-verde-mexico/","yes","1","Mexico","diet prepared meals","direct partnership","placeholder_pending_approval","local_placeholder_route_ready","Find/apply/approve program, then replace placeholder with approved tracking URL.","Add as Mexico diet meal plan challenger"
"Manzana Verde Peru","manzana-verde-peru","/go/manzana-verde-peru/","yes","/reviews/manzana-verde-peru/","yes","1","Peru","diet prepared meals","direct partnership","placeholder_pending_approval","local_placeholder_route_ready","Find/apply/approve program, then replace placeholder with approved tracking URL.","Add as Peru diet meal delivery anchor"
"Marie Callender's","marie-callender-s","/go/marie-callender-s/","yes","/reviews/marie-callender-s/","yes","1","US","comfort frozen meals","retail affiliate","placeholder_pending_approval","local_placeholder_route_ready","Find/apply/approve program, then replace placeholder with approved tracking URL.","Add to comfort frozen dinner and family-size meal pages"
"Market Kurly Meal Kits","market-kurly-meal-kits","/go/market-kurly-meal-kits/","yes","/reviews/market-kurly-meal-kits/","yes","1","South Korea","grocery dinner delivery","affiliate application","placeholder_pending_approval","local_placeholder_route_ready","Find/apply/approve program, then replace placeholder with approved tracking URL.","Add to Korea grocery-dinner and ready-meal marketplace pages"
"MarleenKookt","marleenkookt","/go/marleenkookt/","yes","/reviews/marleenkookt/","yes","1","Netherlands","prepared meals","direct partnership","placeholder_pending_approval","local_placeholder_route_ready","Find/apply/approve program, then replace placeholder with approved tracking URL.","Add with regional caveat"
"Marley Spoon","marley-spoon","/go/marley-spoon/","yes","/reviews/marley-spoon/","yes","6","austria|belgium|Germany|Global|Netherlands|US","meal kit|meal kit and prepared meals","affiliate application|affiliate network or direct partnership|needs_research|no","placeholder_pending_approval","local_placeholder_route_ready","Find/apply/approve program, then replace placeholder with approved tracking URL.","Add to Belgium comparison and affiliate application queue | Build Austria HelloFresh vs Marley Spoon comparison | Promote from missing-priority to active route-ready coverage | Research affiliate or direct partner path after domain is live. | Research German partner program and compare against HelloFresh. | Use country-specific rows for recommendations, source checks, affiliate applications, and /go/ route decisions."
"Marley Spoon Australia","marley-spoon-australia","/go/marley-spoon-australia/","yes","/reviews/marley-spoon-australia/","yes","1","Australia","meal kit","likely","placeholder_pending_approval","local_placeholder_route_ready","Find/apply/approve program, then replace placeholder with approved tracking URL.","Add AU meal-kit comparison"
"Marley Spoon Market Australia","marley-spoon-market-australia","/go/marley-spoon-market-australia/","yes","/reviews/marley-spoon-market-australia/","yes","1","Australia","prepared add-ons","possible","placeholder_pending_approval","local_placeholder_route_ready","Find/apply/approve program, then replace placeholder with approved tracking URL.","Verify official URL, country availability, active status, and affiliate program before publishing as a recommendation"
"Marley Spoon Netherlands","marley-spoon-netherlands","/go/marley-spoon-netherlands/","yes","/reviews/marley-spoon-netherlands/","yes","1","Netherlands","meal kit","affiliate application","placeholder_pending_approval","local_placeholder_route_ready","Find/apply/approve program, then replace placeholder with approved tracking URL.","Promote to Netherlands meal-kit comparisons"
"Marmita Fitness Brasil","marmita-fitness-brasil","/go/marmita-fitness-brasil/","yes","/reviews/marmita-fitness-brasil/","yes","1","Brazil","high protein meal prep","direct partnership","placeholder_pending_approval","local_placeholder_route_ready","Find/apply/approve program, then replace placeholder with approved tracking URL.","Add to Brazil regional high-protein pages"
"Mathem","mathem","/go/mathem/","yes","/reviews/mathem/","yes","1","Sweden","grocery dinner delivery","affiliate application","placeholder_pending_approval","local_placeholder_route_ready","Find/apply/approve program, then replace placeholder with approved tracking URL.","Add to Sweden grocery-dinner pages"
"Matkomfort","matkomfort","/go/matkomfort/","yes","/reviews/matkomfort/","yes","1","sweden","meal kit","direct partnership","placeholder_pending_approval","local_placeholder_route_ready","Find/apply/approve program, then replace placeholder with approved tracking URL.","Manual official-page check before top placement"
"Maya Kaimal","maya-kaimal","/go/maya-kaimal/","yes","/reviews/maya-kaimal/","yes","1","US","shelf-stable meals","retail affiliate","placeholder_pending_approval","local_placeholder_route_ready","Find/apply/approve program, then replace placeholder with approved tracking URL.","Add to shelf-stable Indian meal helper pages"
"Maya Kaimal Everyday Dal","maya-kaimal-everyday-dal","/go/maya-kaimal-everyday-dal/","yes","/reviews/maya-kaimal-everyday-dal/","yes","1","US","shelf-stable meals","retail affiliate","placeholder_pending_approval","local_placeholder_route_ready","Find/apply/approve program, then replace placeholder with approved tracking URL.","Add product-route variant for ready-to-eat Indian meal searches"
"Meal Box","meal-box","/go/meal-box/","yes","/reviews/meal-box/","yes","1","Turkey","prepared meals","direct partnership after consumer fit check","placeholder_pending_approval","local_placeholder_route_ready","Find/apply/approve program, then replace placeholder with approved tracking URL.","Account for Turkey prepared meal demand with B2B caveat"
"Meal Machine","meal-machine","/go/meal-machine/","yes","/reviews/meal-machine/","yes","1","Australia","prepared meals","possible","placeholder_pending_approval","local_placeholder_route_ready","Find/apply/approve program, then replace placeholder with approved tracking URL.","Verify official URL, country availability, active status, and affiliate program before publishing as a recommendation"
"Meal Me by Sof","meal-me-by-sof","/go/meal-me-by-sof/","yes","/reviews/meal-me-by-sof/","yes","1","US","diet prepared meals","direct partnership","placeholder_pending_approval","local_placeholder_route_ready","Find/apply/approve program, then replace placeholder with approved tracking URL.","Add to Chicago regional prepared-meal alternatives"
"Meal Prep Calgary","meal-prep-calgary","/go/meal-prep-calgary/","yes","/reviews/meal-prep-calgary/","yes","1","Canada","prepared meals","possible","placeholder_pending_approval","local_placeholder_route_ready","Find/apply/approve program, then replace placeholder with approved tracking URL.","Verify official URL, country availability, active status, and affiliate program before publishing as a recommendation"
"Meal Prep Consciente","meal-prep-consciente","/go/meal-prep-consciente/","yes","/reviews/meal-prep-consciente/","yes","1","Colombia","diet prepared meals","direct partnership","placeholder_pending_approval","local_placeholder_route_ready","Find/apply/approve program, then replace placeholder with approved tracking URL.","Add to Colombia Medellin meal-prep alternatives"
"Meal Prep Edmonton","meal-prep-edmonton","/go/meal-prep-edmonton/","yes","/reviews/meal-prep-edmonton/","yes","1","Canada","prepared meals","possible","placeholder_pending_approval","local_placeholder_route_ready","Find/apply/approve program, then replace placeholder with approved tracking URL.","Verify official URL, country availability, active status, and affiliate program before publishing as a recommendation"
"Meal Prep Montreal","meal-prep-montreal","/go/meal-prep-montreal/","yes","/reviews/meal-prep-montreal/","yes","1","Canada","prepared meals","possible","placeholder_pending_approval","local_placeholder_route_ready","Find/apply/approve program, then replace placeholder with approved tracking URL.","Verify official URL, country availability, active status, and affiliate program before publishing as a recommendation"
"Meal Prep on Fleek","meal-prep-on-fleek","/go/meal-prep-on-fleek/","yes","/reviews/meal-prep-on-fleek/","yes","1","US","meal prep marketplace","possible","placeholder_pending_approval","local_placeholder_route_ready","Find/apply/approve program, then replace placeholder with approved tracking URL.","Verify official URL, country availability, active status, and affiliate program before publishing as a recommendation"
"Meal Prep Ottawa","meal-prep-ottawa","/go/meal-prep-ottawa/","yes","/reviews/meal-prep-ottawa/","yes","1","Canada","prepared meals","direct partnership","placeholder_pending_approval","local_placeholder_route_ready","Find/apply/approve program, then replace placeholder with approved tracking URL.","Add as regional Canada meal prep candidate"
"Meal Prep Sunday San Diego","meal-prep-sunday-san-diego","/go/meal-prep-sunday-san-diego/","yes","/reviews/meal-prep-sunday-san-diego/","yes","1","US","prepared meals","direct partnership","placeholder_pending_approval","local_placeholder_route_ready","Find/apply/approve program, then replace placeholder with approved tracking URL.","Add to regional US meal-prep coverage"
"Meal Prep Toronto","meal-prep-toronto","/go/meal-prep-toronto/","yes","/reviews/meal-prep-toronto/","yes","1","Canada","prepared meals","possible","placeholder_pending_approval","local_placeholder_route_ready","Find/apply/approve program, then replace placeholder with approved tracking URL.","Verify official URL, country availability, active status, and affiliate program before publishing as a recommendation"
"Meal Prep Vancouver","meal-prep-vancouver","/go/meal-prep-vancouver/","yes","/reviews/meal-prep-vancouver/","yes","1","Canada","prepared meals","possible","placeholder_pending_approval","local_placeholder_route_ready","Find/apply/approve program, then replace placeholder with approved tracking URL.","Verify official URL, country availability, active status, and affiliate program before publishing as a recommendation"
"Meal Village","meal-village","/go/meal-village/","yes","/reviews/meal-village/","yes","1","US","prepared meals","direct partnership","placeholder_pending_approval","local_placeholder_route_ready","Find/apply/approve program, then replace placeholder with approved tracking URL.","Add to US regional prepared-meal pages with Chicago caveat"
"MealBox Morocco","mealbox-morocco","/go/mealbox-morocco/","yes","/reviews/mealbox-morocco/","yes","1","Morocco","prepared meals","direct partnership","placeholder_pending_approval","local_placeholder_route_ready","Find/apply/approve program, then replace placeholder with approved tracking URL.","Add as Morocco prepared-meal anchor"
"MealFix Canada","mealfix-canada","/go/mealfix-canada/","yes","/reviews/mealfix-canada/","yes","1","Canada","prepared meals","direct partnership","placeholder_pending_approval","local_placeholder_route_ready","Find/apply/approve program, then replace placeholder with approved tracking URL.","Add to Canada prepared meal challenger pages"
"Mealhero","mealhero","/go/mealhero/","yes","/reviews/mealhero/","yes","1","netherlands","frozen prepared meals","direct partnership","placeholder_pending_approval","local_placeholder_route_ready","Find/apply/approve program, then replace placeholder with approved tracking URL.","Add to Netherlands frozen prepared-meal pages"
"MealHero Netherlands","mealhero-netherlands","/go/mealhero-netherlands/","yes","/reviews/mealhero-netherlands/","yes","1","Netherlands","frozen prepared meals","direct partnership after active-route check","placeholder_pending_approval","local_placeholder_route_ready","Find/apply/approve program, then replace placeholder with approved tracking URL.","Add with active-route caveat"
"MealPrep Baltic Estonia","mealprep-baltic-estonia","/go/mealprep-baltic-estonia/","yes","/reviews/mealprep-baltic-estonia/","yes","1","Estonia","diet prepared meals","direct partnership","placeholder_pending_approval","local_placeholder_route_ready","Find/apply/approve program, then replace placeholder with approved tracking URL.","Add to Estonia meal-prep alternatives"
"MealPrep Baltic Latvia","mealprep-baltic-latvia","/go/mealprep-baltic-latvia/","yes","/reviews/mealprep-baltic-latvia/","yes","1","Latvia","diet prepared meals","direct partnership","placeholder_pending_approval","local_placeholder_route_ready","Find/apply/approve program, then replace placeholder with approved tracking URL.","Add as Latvia meal-prep anchor with Baltic-region caveat"
"MealPrep Baltic Lithuania","mealprep-baltic-lithuania","/go/mealprep-baltic-lithuania/","yes","/reviews/mealprep-baltic-lithuania/","yes","1","Lithuania","diet prepared meals","direct partnership","placeholder_pending_approval","local_placeholder_route_ready","Find/apply/approve program, then replace placeholder with approved tracking URL.","Add as Lithuania meal-prep anchor with Baltic-region caveat"
"Mealprep.se","mealprep-se","/go/mealprep-se/","yes","/reviews/mealprep-se/","yes","1","Sweden","high protein meal prep","direct partnership","placeholder_pending_approval","local_placeholder_route_ready","Find/apply/approve program, then replace placeholder with approved tracking URL.","Add with active route and delivery-area caveat"
"MealPro","mealpro","/go/mealpro/","yes","/reviews/mealpro/","yes","1","US","fitness prepared meals","direct partnership","placeholder_pending_approval","local_placeholder_route_ready","Find/apply/approve program, then replace placeholder with approved tracking URL.","Add to macro and fitness prepared meal pages"
"MealPro Canada","mealpro-canada","/go/mealpro-canada/","yes","/reviews/mealpro-canada/","yes","1","Canada","prepared meals","direct partnership","placeholder_pending_approval","local_placeholder_route_ready","Find/apply/approve program, then replace placeholder with approved tracking URL.","Add to Canada prepared meal challenger pages"
"Meals in Minutes","meals-in-minutes","/go/meals-in-minutes/","yes","/reviews/meals-in-minutes/","yes","1","Australia","prepared meals","direct partnership","placeholder_pending_approval","local_placeholder_route_ready","Find/apply/approve program, then replace placeholder with approved tracking URL.","Add to AU quick prepared meal challenger pages"
"Meals in Minutes Malaysia","meals-in-minutes-malaysia","/go/meals-in-minutes-malaysia/","yes","/reviews/meals-in-minutes-malaysia/","yes","1","Malaysia","frozen prepared meals","direct partnership","placeholder_pending_approval","local_placeholder_route_ready","Find/apply/approve program, then replace placeholder with approved tracking URL.","Add as Malaysia frozen/prepped meal anchor"
"Meals on Me","meals-on-me","/go/meals-on-me/","yes","/reviews/meals-on-me/","yes","1","uae","prepared meals","direct partnership","placeholder_pending_approval","local_placeholder_route_ready","Find/apply/approve program, then replace placeholder with approved tracking URL.","Add to UAE prepared-meal outreach queue"
"Meals on Me Pro","meals-on-me-pro","/go/meals-on-me-pro/","yes","/reviews/meals-on-me-pro/","yes","1","UAE","high protein meal prep","direct partnership","placeholder_pending_approval","local_placeholder_route_ready","Find/apply/approve program, then replace placeholder with approved tracking URL.","Avoid duplicate affiliate claim; use for high-protein internal categorization"
